Id,OverallQual,GrLivArea,GarageCars,SalePrice,PriceCategory
2116,8,1620,4,426283,High
2368,1,1635,4,213680,Low
1422,5,1461,0,258754,Medium
1413,1,945,1,139036,Low
1451,3,1507,4,268055,Medium
1861,8,1440,4,389200,Medium
2063,10,1241,2,405051,High
1741,8,2955,3,475432,High
2272,2,2798,2,306914,Medium
1259,2,2966,3,345962,Medium
1888,2,2636,3,297641,Medium
2432,9,1742,3,448524,High
1712,1,2996,2,321892,Medium
2382,2,2107,2,276861,Medium
1070,8,2563,3,501433,High
2268,2,2735,4,371895,Medium
2491,8,2493,4,467461,High
1607,8,1041,1,340616,Medium
1433,3,1062,2,211583,Low
1051,1,2094,4,282573,Medium
2199,5,1354,4,312072,Medium
2128,8,2493,0,427233,High
2190,6,2647,1,384051,Medium
2249,4,1131,0,231371,Low
2419,3,2770,3,354693,Medium
1432,10,2626,2,515066,High
2452,3,2372,0,259111,Medium
2470,6,2113,0,350529,Medium
2234,3,1658,1,240117,Low
2281,8,2619,2,478682,High
2085,3,2365,1,291699,Medium
1610,5,1471,1,274072,Medium
2284,5,2481,0,323540,Medium
2041,3,1137,4,271795,Medium
1220,1,2840,2,303005,Medium
1339,10,1761,2,451493,High
1423,7,1787,4,409512,High
1428,4,1240,1,240658,Low
2105,2,1586,3,233134,Low
1076,9,2167,2,445684,High
2391,3,2508,4,335284,Medium
1439,8,1925,0,386019,Medium
2336,2,1341,0,175716,Low
1864,5,1485,4,332416,Medium
2080,3,2177,3,325689,Medium
1354,10,1804,1,394741,Medium
1365,1,1588,1,146300,Low
1309,1,1809,4,261052,Medium
1736,6,2453,1,391963,Medium
1998,2,2347,3,316282,Medium
1621,6,1345,2,347436,Medium
1543,10,2476,1,479103,High
2140,1,2844,1,290191,Medium
2296,10,2841,4,544382,High
1554,6,1189,4,319798,Medium
1679,8,1177,4,362161,Medium
1049,8,1591,3,392144,Medium
1490,1,2566,4,285926,Medium
1316,3,2147,0,294184,Medium
1904,5,2989,0,371055,Medium
1636,2,2876,4,354953,Medium
1560,4,2753,0,331836,Medium
1486,1,1085,2,170441,Low
1067,8,1326,3,342729,Medium
1811,9,2006,3,497095,High
1493,7,1812,4,388530,Medium
1310,3,1503,1,228731,Low
2096,4,2767,2,351132,Medium
2247,3,1907,2,266307,Medium
1184,3,2187,0,285338,Medium
1306,4,2477,3,342607,Medium
1852,4,1380,0,222563,Low
1792,3,1393,4,253827,Medium
1289,1,2181,4,282201,Medium
1706,2,2969,1,321459,Medium
2329,7,1162,4,355311,Medium
1654,1,947,0,150237,Low
1522,4,933,2,208143,Low
1461,1,1953,2,242196,Low
1930,8,2317,2,412050,High
2034,9,989,2,354166,Medium
1029,4,838,3,237845,Low
1240,3,1375,4,239363,Low
1798,7,1932,1,349392,Medium
1817,8,2126,4,399180,Medium
1065,10,2359,4,500964,High
1601,6,1541,2,349506,Medium
1924,10,2890,4,575156,High
1754,5,2655,4,406045,High
1926,2,976,4,163299,Low
2101,3,2459,1,277062,Medium
1247,8,2647,2,477422,High
1277,3,2998,3,365035,Medium
2402,5,2994,1,403074,High
2066,1,2629,2,281731,Medium
1479,9,1036,2,359150,Medium
1426,6,1768,4,374282,Medium
1123,7,2794,0,450201,High
2169,10,2807,0,460939,High
1394,10,2199,0,404103,High
1985,4,1647,2,300555,Medium
1715,10,1446,4,412318,High
2134,5,2590,2,409541,High
2084,8,2482,2,467127,High
1497,7,2961,3,475765,High
1044,10,1369,1,378958,Medium
1059,10,2509,0,428475,High
2161,2,2646,2,278950,Medium
1023,6,1369,1,309693,Medium
1874,1,2165,0,232681,Low
1481,10,1429,1,434033,High
2324,3,1242,0,185844,Low
1745,2,1161,3,219592,Low
1231,1,1069,4,207930,Low
1124,1,1116,1,171202,Low
1427,5,1900,0,263301,Medium
1818,1,1770,3,248287,Low
1168,7,1554,3,355399,Medium
1115,5,2509,0,328137,Medium
2088,3,1395,2,212404,Low
1986,10,1058,0,352959,Medium
2395,10,2007,1,443145,High
2424,4,962,4,281738,Medium
1415,5,2262,0,340744,Medium
1141,7,1907,4,387492,Medium
2233,8,1319,0,347845,Medium
2293,9,1864,3,459193,High
1762,10,1113,1,385221,Medium
2206,6,1503,4,339194,Medium
1462,10,1995,1,445792,High
2243,1,1219,4,208504,Low
1078,1,1194,4,178229,Low
2004,5,1469,2,277333,Medium
2490,2,2388,2,298235,Medium
1571,10,948,3,391642,Medium
1015,5,1515,2,292652,Medium
1494,5,2323,2,397819,Medium
1350,7,842,3,335302,Medium
1999,9,2730,2,477222,High
1274,3,2046,1,285868,Medium
2191,2,2512,3,321104,Medium
1271,8,925,0,297242,Medium
2473,10,1946,1,454849,High
1237,9,2980,1,483114,High
1585,6,1619,1,285520,Medium
2312,7,1616,4,366155,Medium
1694,1,1321,0,147253,Low
2001,8,1374,1,354559,Medium
1322,2,1650,1,200867,Low
1782,2,1670,3,245459,Low
2358,5,2177,3,424242,High
2203,7,2630,0,420916,High
1970,10,2614,1,486420,High
2466,9,1898,4,455897,High
1526,7,2228,2,414002,High
2425,5,2663,0,324410,Medium
2170,8,1985,0,382868,Medium
1175,1,1702,0,179261,Low
1358,6,1135,3,314427,Medium
1043,9,2330,3,476079,High
1416,10,1380,4,440662,High
1344,1,1977,3,254795,Medium
2026,1,2049,4,300097,Medium
2401,6,1682,3,348952,Medium
1101,1,2133,3,281004,Medium
1107,8,1041,3,383601,Medium
2489,8,1850,0,394547,Medium
2052,6,1735,2,343113,Medium
1964,1,2077,4,288352,Medium
1380,1,801,2,131236,Low
1244,6,2820,1,401157,High
2099,7,2098,4,400373,High
1500,9,2810,0,507840,High
1700,7,1645,2,307765,Medium
1128,7,2856,1,420719,High
1239,3,2506,1,312267,Medium
2114,7,2477,4,489606,High
1682,7,1169,2,322753,Medium
1482,5,2340,4,407853,High
